matchId,teamId,queueId,patch,gameDuration,role,championId,win,ally1,ally2,ally3,ally4,enemy1,enemy2,enemy3,enemy4,enemy5
EUW1_7599809744,100,420,15.22,2008,BOTTOM,Jinx,1,Sion,Qiyana,Xerath,Neeko,Jax,Sylas,Smolder,Caitlyn,Nautilus
EUW1_7599809744,100,420,15.22,2008,UTILITY,Neeko,1,Sion,Qiyana,Xerath,Jinx,Jax,Sylas,Smolder,Caitlyn,Nautilus
EUW1_7599809744,200,420,15.22,2008,TOP,Jax,0,Sylas,Smolder,Caitlyn,Nautilus,Sion,Qiyana,Xerath,Jinx,Neeko
EUW1_7599809744,200,420,15.22,2008,JUNGLE,Sylas,0,Jax,Smolder,Caitlyn,Nautilus,Sion,Qiyana,Xerath,Jinx,Neeko
EUW1_7599809744,200,420,15.22,2008,MIDDLE,Smolder,0,Jax,Sylas,Caitlyn,Nautilus,Sion,Qiyana,Xerath,Jinx,Neeko
EUW1_7599809744,200,420,15.22,2008,BOTTOM,Caitlyn,0,Jax,Sylas,Smolder,Nautilus,Sion,Qiyana,Xerath,Jinx,Neeko
EUW1_7599809744,200,420,15.22,2008,UTILITY,Nautilus,0,Jax,Sylas,Smolder,Caitlyn,Sion,Qiyana,Xerath,Jinx,Neeko
EUW1_7599776923,100,420,15.22,2047,TOP,Karma,0,Diana,Yone,Aphelios,Mel,Garen,Nasus,Katarina,Vayne,Yuumi
EUW1_7599776923,100,420,15.22,2047,JUNGLE,Diana,0,Karma,Yone,Aphelios,Mel,Garen,Nasus,Katarina,Vayne,Yuumi
EUW1_7599776923,100,420,15.22,2047,MIDDLE,Yone,0,Karma,Diana,Aphelios,Mel,Garen,Nasus,Katarina,Vayne,Yuumi
EUW1_7599776923,100,420,15.22,2047,BOTTOM,Aphelios,0,Karma,Diana,Yone,Mel,Garen,Nasus,Katarina,Vayne,Yuumi
EUW1_7599776923,100,420,15.22,2047,UTILITY,Mel,0,Karma,Diana,Yone,Aphelios,Garen,Nasus,Katarina,Vayne,Yuumi
EUW1_7599776923,200,420,15.22,2047,TOP,Garen,1,Nasus,Katarina,Vayne,Yuumi,Karma,Diana,Yone,Aphelios,Mel
EUW1_7599776923,200,420,15.22,2047,JUNGLE,Nasus,1,Garen,Katarina,Vayne,Yuumi,Karma,Diana,Yone,Aphelios,Mel
EUW1_7599776923,200,420,15.22,2047,MIDDLE,Katarina,1,Garen,Nasus,Vayne,Yuumi,Karma,Diana,Yone,Aphelios,Mel
EUW1_7599776923,200,420,15.22,2047,BOTTOM,Vayne,1,Garen,Nasus,Katarina,Yuumi,Karma,Diana,Yone,Aphelios,Mel
EUW1_7599776923,200,420,15.22,2047,UTILITY,Yuumi,1,Garen,Nasus,Katarina,Vayne,Karma,Diana,Yone,Aphelios,Mel
EUW1_7599102468,100,420,15.22,1993,TOP,Sion,0,Shaco,Yone,Kaisa,Alistar,Urgot,DrMundo,AurelionSol,Jinx,Milio
EUW1_7599102468,100,420,15.22,1993,JUNGLE,Shaco,0,Sion,Yone,Kaisa,Alistar,Urgot,DrMundo,AurelionSol,Jinx,Milio
EUW1_7599102468,100,420,15.22,1993,MIDDLE,Yone,0,Sion,Shaco,Kaisa,Alistar,Urgot,DrMundo,AurelionSol,Jinx,Milio
EUW1_7599102468,100,420,15.22,1993,BOTTOM,Kaisa,0,Sion,Shaco,Yone,Alistar,Urgot,DrMundo,AurelionSol,Jinx,Milio
EUW1_7599102468,100,420,15.22,1993,UTILITY,Alistar,0,Sion,Shaco,Yone,Kaisa,Urgot,DrMundo,AurelionSol,Jinx,Milio
EUW1_7599102468,200,420,15.22,1993,TOP,Urgot,1,DrMundo,AurelionSol,Jinx,Milio,Sion,Shaco,Yone,Kaisa,Alistar
EUW1_7599102468,200,420,15.22,1993,JUNGLE,DrMundo,1,Urgot,AurelionSol,Jinx,Milio,Sion,Shaco,Yone,Kaisa,Alistar
EUW1_7599102468,200,420,15.22,1993,MIDDLE,AurelionSol,1,Urgot,DrMundo,Jinx,Milio,Sion,Shaco,Yone,Kaisa,Alistar
EUW1_7599102468,200,420,15.22,1993,BOTTOM,Jinx,1,Urgot,DrMundo,AurelionSol,Milio,Sion,Shaco,Yone,Kaisa,Alistar
EUW1_7599102468,200,420,15.22,1993,UTILITY,Milio,1,Urgot,DrMundo,AurelionSol,Jinx,Sion,Shaco,Yone,Kaisa,Alistar
EUW1_7599024364,100,420,15.22,2009,TOP,Veigar,0,Kayn,Aurora,Smolder,Leona,Garen,Rammus,Azir,Jhin,Zyra
EUW1_7599024364,100,420,15.22,2009,JUNGLE,Kayn,0,Veigar,Aurora,Smolder,Leona,Garen,Rammus,Azir,Jhin,Zyra
EUW1_7599024364,100,420,15.22,2009,MIDDLE,Aurora,0,Veigar,Kayn,Smolder,Leona,Garen,Rammus,Azir,Jhin,Zyra
EUW1_7599024364,100,420,15.22,2009,BOTTOM,Smolder,0,Veigar,Kayn,Aurora,Leona,Garen,Rammus,Azir,Jhin,Zyra
EUW1_7599024364,100,420,15.22,2009,UTILITY,Leona,0,Veigar,Kayn,Aurora,Smolder,Garen,Rammus,Azir,Jhin,Zyra
EUW1_7599024364,200,420,15.22,2009,TOP,Garen,1,Rammus,Azir,Jhin,Zyra,Veigar,Kayn,Aurora,Smolder,Leona
EUW1_7599024364,200,420,15.22,2009,JUNGLE,Rammus,1,Garen,Azir,Jhin,Zyra,Veigar,Kayn,Aurora,Smolder,Leona
EUW1_7599024364,200,420,15.22,2009,MIDDLE,Azir,1,Garen,Rammus,Jhin,Zyra,Veigar,Kayn,Aurora,Smolder,Leona
EUW1_7599024364,200,420,15.22,2009,BOTTOM,Jhin,1,Garen,Rammus,Azir,Zyra,Veigar,Kayn,Aurora,Smolder,Leona
EUW1_7599024364,200,420,15.22,2009,UTILITY,Zyra,1,Garen,Rammus,Azir,Jhin,Veigar,Kayn,Aurora,Smolder,Leona
EUW1_7598968245,100,420,15.22,1930,TOP,Garen,1,DrMundo,Azir,Zeri,Morgana,MonkeyKing,Nocturne,Katarina,Sivir,Rakan
EUW1_7598968245,100,420,15.22,1930,JUNGLE,DrMundo,1,Garen,Azir,Zeri,Morgana,MonkeyKing,Nocturne,Katarina,Sivir,Rakan
EUW1_7598968245,100,420,15.22,1930,MIDDLE,Azir,1,Garen,DrMundo,Zeri,Morgana,MonkeyKing,Nocturne,Katarina,Sivir,Rakan
